일자,금융투자,보험,투신,사모,은행,기타금융,연기금 등,기타법인,개인,외국인,기타외국인,전체
2023.12.28,8.11922E+11,18596008915,54049322802,21140027115,40334459535,20515012300,42371841995,1.05105E+11,9.22243E+11,5.43019E+11,3044365868,2.58234E+12
2023.12.27,1.12693E+12,73845791092,67596758050,52928186060,31684865995,1446149500,44424380200,68897162029,8.73069E+11,6.01751E+11,2356432440,2.94493E+12
2023.12.26,6.59333E+11,29488595510,30601058980,7312354530,48093509980,663635285,16079729465,44042637197,7.55541E+11,4.0882E+11,3717930090,2.00369E+12
2023.12.22,6.81206E+11,40527762225,84824116655,11704326560,36845182170,283553755,46395236135,71484988685,8.75455E+11,4.57012E+11,1236269990,2.30697E+12
2023.12.21,8.02479E+11,11997559975,79891718695,35029458235,41600581255,5267455900,21397615535,1.1972E+11,1.02468E+12,6.75515E+11,3325652501,2.8209E+12
2023.12.20,9.57566E+11,42255402742,72578679870,19100052420,37283071725,12827048565,51428044395,85903915511,1.11829E+12,4.75443E+11,2857618770,2.87553E+12
2023.12.19,7.5178E+11,57437943180,93549878480,24943007680,43372073645,11414819510,7980637865,64857614490,1.0803E+12,4.53869E+11,1969200129,2.59147E+12
2023.12.18,8.13556E+11,13715623700,14830152565,30245103790,40612889860,2339709900,66396949670,60841725474,1.16447E+12,5.20493E+11,3229224026,2.73073E+12
2023.12.15,9.0381E+11,35578443290,30379768530,20522831500,37365510000,10197541770,9991344025,69938747455,1.42798E+12,6.15842E+11,2162570850,3.16377E+12
2023.12.14,9.86008E+11,60223272140,91432458025,18725633495,99636850145,22071266350,41139640125,83980660384,1.23646E+12,8.35594E+11,3325358304,3.4786E+12
2023.12.13,6.96536E+11,53338618715,31727460095,17750969610,26040806460,34706762280,14917694730,35437576797,1.09019E+12,5.15585E+11,1776361018,2.51801E+12
2023.12.12,9.08746E+11,8594479940,49721808315,10472528120,23910540965,10350386570,19995383030,58716413035,1.1466E+12,6.20645E+11,1672422715,2.85942E+12
2023.12.11,1.02903E+12,14038183310,27763572460,7571665780,22871281985,11960158565,3832589970,29247452099,1.14213E+12,5.22081E+11,3856793478,2.81438E+12
2023.12.8,8.05337E+11,25963445665,1.30261E+11,16880022005,26639013935,182694330,66501607135,67415060245,1.28061E+12,6.01546E+11,1390168955,3.02272E+12
2023.12.7,8.52653E+11,34685903990,13073814650,9656096390,32271388460,8483199295,9721068270,62277770885,1.21704E+12,6.26053E+11,2645841555,2.86856E+12
2023.12.6,8.3918E+11,25287704030,2.08523E+11,11615850495,27666620215,165645840,9929467695,45360217200,1.15559E+12,5.02725E+11,1918209970,2.82796E+12
2023.12.5,7.35381E+11,37046119245,12794528720,35948346295,37003990565,1742546545,12903782105,68376102710,1.08235E+12,6.05968E+11,2067425745,2.63158E+12
2023.12.4,8.01762E+11,17107739660,83470171005,20953634000,27752166480,176854500,56177250,94572447140,9.72629E+11,7.93139E+11,2545395885,2.81416E+12
2023.12.1,7.90086E+11,41666831391,40430592790,21305314515,33084028605,77913260,3664026370,47575994925,8.26254E+11,6.88608E+11,2803089880,2.49556E+12
2023.11.30,8.70348E+11,37721865495,8978498025,32729186960,35072511265,1104108725,1061891415,54394601720,8.77493E+11,6.48597E+11,2512973730,2.57001E+12
2023.11.29,7.25073E+11,37774102060,37842184665,42512218330,24114283170,178176765,6650038015,58897402160,9.39357E+11,6.13406E+11,2621918315,2.48843E+12
2023.11.28,7.28652E+11,15203369545,71615818619,12919550730,24117935135,325007920,22323000205,47024409640,8.01283E+11,4.70384E+11,948196830,2.1948E+12
2023.11.27,5.62403E+11,12381263075,89647072340,11779590000,30897573765,447476650,4359717780,43742793290,7.64634E+11,4.4745E+11,2606471895,1.97035E+12
2023.11.24,7.57681E+11,17292825775,13096414914,22370681845,38356196740,134906360,5719185135,26532119045,6.62191E+11,3.63918E+11,2384080200,1.90968E+12
2023.11.23,6.23456E+11,36776460570,1.03E+11,12897121340,47592787880,143184000,34292955890,43091381865,7.35408E+11,5.22166E+11,2313040560,2.16114E+12
2023.11.22,7.839E+11,28277466238,30475725660,25333901395,28843359870,3479165655,2757352070,49800240455,8.47982E+11,5.82821E+11,1713737365,2.38538E+12
2023.11.21,9.02458E+11,25195258050,21777719845,27314583100,31970163865,2502725180,147244295,74402630660,8.613E+11,7.28723E+11,2551397770,2.67834E+12
2023.11.20,7.98558E+11,22866904760,1.04869E+11,13810387605,32253945765,4620162700,109347645,80194267865,8.29125E+11,6.66759E+11,3039033890,2.55621E+12
2023.11.17,6.75244E+11,17447781075,28312651260,39981561390,29553081900,2298277975,7152052825,42375343020,8.26707E+11,6.3651E+11,2871984345,2.30845E+12
2023.11.16,8.06738E+11,16768820060,20483374550,35507492415,27566069345,326422320,8407399600,53720857920,9.51902E+11,7.2012E+11,3191868615,2.64473E+12
2023.11.15,1.14424E+12,99830427545,78247464230,43070283675,72866974410,3981996715,5946626990,78392632635,1.23437E+12,1.01229E+12,6548627125,3.77978E+12
