종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
466400,1Q 25-08 회사채(A+이상)액티브,2023.9.19,채권-회사채-단기,하나자산운용,0,KIS 2025-08만기형 크레딧 A+이상 지수(총수익),0.16,1.11924E+11,0.04,매우낮음,실물(액티브),0.1,배당소득세(보유기간과세)
451060,1Q K200액티브,2023.1.31,주식-시장대표,하나자산운용,14.84,코스피 200,0.71,1.54518E+11,-0.57,보통,실물(액티브),0.18,배당소득세(보유기간과세)
463290,1Q 단기금융채액티브,2023.8.3,채권-혼합-단기,하나자산운용,0,MK 머니마켓 지수(총수익),0.07,2.07675E+11,0.02,매우낮음,실물(액티브),0.08,배당소득세(보유기간과세)
479080,1Q 머니마켓액티브,2024.4.2,채권-혼합-단기,하나자산운용,0,KIS-하나 MMF 지수(총수익),0.05,3.34419E+11,0.01,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
472350,1Q 차이나H(H),2023.12.12,주식-시장대표,하나자산운용,0,Hang Seng China H,1.39,20579891507,0.45,높음,실물(패시브),0.11,배당소득세(보유기간과세)
473440,ACE 11월만기자동연장회사채AA-이상액티브,2023.12.19,채권-회사채-단기,한국투자신탁운용,0,KIS 11월 만기자동연장회사채(AA-이상) 총수익지수,0.06,1.2601E+11,0.06,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
105190,ACE 200,2008.9.25,주식-시장대표,한국투자신탁운용,13.45,코스피 200,0.62,5.08744E+11,-0.25,보통,실물(패시브),0.09,비과세
332500,ACE 200TR,2019.8.28,주식-시장대표,한국투자신탁운용,15.29,코스피 200 TR,0.17,43244095087,-0.54,보통,실물(패시브),0.03,배당소득세(보유기간과세)
448880,ACE 24-12 회사채(AA-이상)액티브,2022.11.22,채권-회사채-단기,한국투자신탁운용,-1.02,KIS 크레딧 2412만기형 총수익지수,0.14,2.2798E+11,0.04,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
461260,ACE 25-06 회사채(AA-이상)액티브,2023.6.20,채권-회사채-단기,한국투자신탁운용,5.32,KIS 크레딧 2506만기형(AA-이상)지수(총수익지수),0.14,1.16251E+11,0.16,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
461270,ACE 26-06 회사채(AA-이상)액티브,2023.6.20,채권-회사채-단기,한국투자신탁운용,6.42,KIS 크레딧 2606만기형(AA-이상)지수(총수익지수),0.2,1.54256E+11,0.05,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
475260,ACE 2월만기자동연장회사채AA-이상액티브,2024.1.23,채권-회사채-단기,한국투자신탁운용,0,KAP 2월 만기자동연장회사채(AA-이상) 총수익지수,0.06,1.18588E+11,0.07,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
385600,ACE 2차전지&친환경차액티브,2021.5.25,주식-전략-전략테마,한국투자신탁운용,-21.93,FnGuide 친환경 자동차 밸류체인 지수,17.96,19671485928,-0.27,매우높음,실물(액티브),0.29,배당소득세(보유기간과세)
475270,ACE 5월만기자동연장회사채AA-이상액티브,2024.1.23,채권-회사채-단기,한국투자신탁운용,0,KIS 5월 만기자동연장회사채(AA-이상) 총수익지수,0.11,92649609760,0,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
475280,ACE 8월만기자동연장회사채AA-이상액티브,2024.1.23,채권-회사채-단기,한국투자신탁운용,0,KAP 8월 만기자동연장회사채(AA-이상) 총수익지수,0.03,30896291559,0.03,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
