종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
472350,1Q 차이나H(H),2023.12.12,주식-시장대표,하나자산운용,0,Hang Seng China H,1.39,20579891507,0.45,높음,실물(패시브),0.11,배당소득세(보유기간과세)
414270,ACE G2전기차&자율주행액티브,2022.2.15,주식-전략-전략테마,한국투자신탁운용,-2.08,FactSet US-China Electric&Autonomous Vehicle Price Return Index,12.99,62131613313,-0.21,높음,실물(액티브),0.29,배당소득세(보유기간과세)
225130,ACE 골드선물 레버리지(합성 H),2015.7.28,원자재-금속-금,한국투자신탁운용,36.75,S&P GSCI GOLD Index Excess Return,0.43,9027840814,0.91,매우높음,합성(패시브),0.49,배당소득세(보유기간과세)
483340,ACE 구글밸류체인액티브,2024.6.11,주식-업종섹터-업종테마,한국투자신탁운용,0,KEDI 글로벌 AI 클라우드 지수,8.16,44443859555,0.69,매우높음,실물(액티브),0.45,배당소득세(보유기간과세)
411050,ACE 글로벌메타버스테크액티브,2021.12.22,주식-업종섹터-업종테마,한국투자신탁운용,48.28,Bloomberg Global Digital Media & Tech Select Price Return Index,12.46,19462132006,-0.11,보통,실물(액티브),0.5,배당소득세(보유기간과세)
446770,ACE 글로벌반도체TOP4 Plus SOLACTIVE,2022.11.15,주식-업종섹터-업종테마,한국투자신탁운용,75.06,Solactive Global Semiconductor TOP4 Plus Price Return Index,2.23,4.66867E+11,3.11,매우높음,실물(패시브),0.45,배당소득세(보유기간과세)
435040,ACE 글로벌브랜드TOP10블룸버그,2022.6.28,주식-전략-전략테마,한국투자신탁운용,29.79,Bloomberg Global Select Industry Leaders TOP10 Index(PR),1.64,14368358597,0.16,낮음,실물(패시브),0.5,배당소득세(보유기간과세)
460960,ACE 글로벌인컴TOP10 SOLACTIVE,2023.7.11,혼합자산-주식+채권,한국투자신탁운용,12.01,Solactive Global Superior Income TOP 10 Price Return Index,1.21,21312192910,0.23,매우낮음,실물(패시브),0.24,배당소득세(보유기간과세)
265690,ACE 러시아MSCI(합성),2017.3.21,주식-시장대표,한국투자신탁운용,-1.51,MSCI Russia 25% Capped Price Return Index,1.78,86154091,20181.3,매우낮음,합성(패시브),0,배당소득세(보유기간과세)
483330,ACE 마이크로소프트밸류체인액티브,2024.6.11,주식-업종섹터-업종테마,한국투자신탁운용,0,KEDI 글로벌생성형AI 지수,11.16,46082416507,0.73,높음,실물(액티브),0.45,배당소득세(보유기간과세)
291130,ACE 멕시코MSCI(합성),2018.3.9,주식-시장대표,한국투자신탁운용,0.35,MSCI MEXICO IMI 25/50 Price return Index,1.43,13050760372,-0.45,높음,합성(패시브),0.5,배당소득세(보유기간과세)
452250,ACE 미국30년국채선물레버리지(합성 H),2023.2.7,채권-국공채-장기,한국투자신탁운용,-20.27,S&P Ultra T-Bond Futures Index(ER),0.37,85397741876,-0.97,매우높음,합성(패시브),0.25,배당소득세(보유기간과세)
476760,ACE 미국30년국채액티브,2024.3.12,채권-국공채-장기,한국투자신탁운용,0,Bloomberg U.S Treasury 20+ Year Total Return Index,1.72,31049209100,-0.19,낮음,실물(액티브),0.05,배당소득세(보유기간과세)
453850,ACE 미국30년국채액티브(H),2023.3.14,채권-국공채-장기,한국투자신탁운용,-10.15,Bloomberg U.S Treasury 20+ Year Total Return Index,4.16,1.41181E+12,-0.07,보통,실물(액티브),0.05,배당소득세(보유기간과세)
476750,ACE 미국30년국채엔화노출액티브(H),2024.3.12,채권-국공채-장기,한국투자신탁운용,0,Bloomberg U.S. Treasury 20+ Year Total Return Index T1530 JPY Currency Hedged,3.43,81927426647,0.04,낮음,실물(액티브),0.15,배당소득세(보유기간과세)
480030,ACE 미국500 15%프리미엄분배(합성),2024.4.23,주식-전략-구조화,한국투자신탁운용,0,Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index,0.65,89879020111,0.19,매우낮음,합성(패시브),0.45,배당소득세(보유기간과세)
280320,ACE 미국IT인터넷S&P(합성 H),2017.10.17,주식-업종섹터-정보기술,한국투자신탁운용,15.28,다우존스 인터넷 종합지수,0.91,12847085282,0.32,높음,합성(패시브),0.5,배당소득세(보유기간과세)
360200,ACE 미국S&P500,2020.8.7,주식-시장대표,한국투자신탁운용,35.26,S&P 500,0.13,1.19469E+12,0.29,낮음,실물(패시브),0.07,배당소득세(보유기간과세)
438080,ACE 미국S&P500채권혼합액티브,2022.8.26,혼합자산-주식+채권,한국투자신탁운용,21.78,S&P500 and Short-Term Treasury 30/70 Blend Index,1.96,91019959428,0.16,매우낮음,실물(액티브),0.15,배당소득세(보유기간과세)
309230,ACE 미국WideMoat가치주,2018.10.25,주식-전략-가치,한국투자신탁운용,20.9,MorningStar Wide Moat Focus Index,0.41,1.09E+11,0.19,낮음,실물(패시브),0.4,배당소득세(보유기간과세)
367380,ACE 미국나스닥100,2020.10.29,주식-시장대표,한국투자신탁운용,38.72,NASDAQ 100,0.12,9.62225E+11,0.58,보통,실물(패시브),0.07,배당소득세(보유기간과세)
438100,ACE 미국나스닥100채권혼합액티브,2022.8.26,혼합자산-주식+채권,한국투자신탁운용,22.19,NASDAQ-100 US T-Bills 30/70 Index,2.94,41096720512,-0.07,매우낮음,실물(액티브),0.15,배당소득세(보유기간과세)
181480,ACE 미국다우존스리츠(합성 H),2013.8.1,부동산-리츠,한국투자신탁운용,7,Dow Jones U.S. Real Estate Index,1.25,13323071392,0.74,높음,합성(패시브),0.3,배당소득세(분리과세부동산ETF)
456880,ACE 미국달러SOFR금리(합성),2023.4.25,기타,한국투자신탁운용,15.64,Solactive SOFR Daily Total Return Index,0.04,1.17635E+11,0.06,매우낮음,합성(패시브),0.05,배당소득세(보유기간과세)
440650,ACE 미국달러단기채권액티브,2022.8.23,채권-국공채-단기,한국투자신탁운용,14.86,Bloomberg Short-Term Treasury Total Return Index,0.36,12152900191,0.06,매우낮음,실물(액티브),0.3,배당소득세(보유기간과세)
480040,ACE 미국반도체15%프리미엄분배(합성),2024.4.23,주식-전략-구조화,한국투자신탁운용,0,Bloomberg US Listed Semiconductor Premium Decrement 15% Distribution Index,0.65,87887126213,2.64,매우높음,합성(패시브),0.45,배당소득세(보유기간과세)
402970,ACE 미국배당다우존스,2021.10.21,주식-전략-배당,한국투자신탁운용,22.17,Dow Jones U.S. Dividend 100 Price Return Index,0.66,3.82379E+11,0.08,낮음,실물(패시브),0.01,배당소득세(보유기간과세)
480020,ACE 미국빅테크7+ 15%프리미엄분배(합성),2024.4.23,주식-전략-구조화,한국투자신탁운용,0,Bloomberg US Big Tech Top 7 Plus Premium Decrement 15% Distribution Index,0.65,1.64852E+11,-0.16,높음,합성(패시브),0.45,배당소득세(보유기간과세)
