종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
277540,ACE 아시아TOP50S&P,2017.8.23,주식-시장대표,한국투자신탁운용,24.45,S&P ASIA50 Price Return Index,3.07,23603772044,-1.5,보통,실물(패시브),0.7,배당소득세(보유기간과세)
483420,ACE 애플밸류체인액티브,2024.6.11,주식-업종섹터-업종테마,한국투자신탁운용,0,Bloomberg Top 30 Supply Chain Plus Apple Price Return Index,16.78,65432491141,0.57,매우높음,실물(액티브),0.45,배당소득세(보유기간과세)
448540,ACE 엔비디아채권혼합블룸버그,2022.11.29,혼합자산-주식+채권,한국투자신탁운용,43.15,Bloomberg Blended NVIDIA Equity and Korean Bond Index,2.15,1.44907E+11,0.37,보통,실물(패시브),0.07,배당소득세(보유기간과세)
433850,ARIRANG TDF2030액티브,2022.6.30,혼합자산-주식+채권,한화자산운용,14.17,Morningstar Korea Lifetime Allocation Moderate 2030 Index (Gross Return),2.37,2377916748,-0.04,매우낮음,실물(액티브),0.14,배당소득세(보유기간과세)
433860,ARIRANG TDF2040액티브,2022.6.30,혼합자산-주식+채권,한화자산운용,17.26,Morningstar Korea Lifetime Allocation Moderate 2040 Index (Gross Return),2.21,2572072407,0.14,낮음,실물(액티브),0.16,배당소득세(보유기간과세)
433870,ARIRANG TDF2050액티브,2022.6.30,혼합자산-주식+채권,한화자산운용,23.75,Morningstar Korea Lifetime Allocation Moderate 2050 Index (Gross Return),3.37,2361693279,0.07,낮음,실물(액티브),0.18,배당소득세(보유기간과세)
433880,ARIRANG TDF2060액티브,2022.6.30,혼합자산-주식+채권,한화자산운용,26.12,Morningstar Korea Lifetime Allocation Moderate 2060 Index (Gross Return),4.15,4827764771,0.12,낮음,실물(액티브),0.2,배당소득세(보유기간과세)
447660,ARIRANG 애플채권혼합,2022.11.29,혼합자산-주식+채권,한화자산운용,12.05,FnGuide 애플채권혼합 지수,1.32,15841421743,0.36,매우낮음,실물(패시브),0.25,배당소득세(보유기간과세)
284430,KODEX 200미국채혼합,2017.11.30,혼합자산-주식+채권,삼성자산운용,11.3,코스피 200 미국채 혼합지수,1.69,81722221209,-0.01,매우낮음,실물(패시브),0.31,배당소득세(보유기간과세)
433970,KODEX TDF2030액티브,2022.6.30,혼합자산-주식+채권,삼성자산운용,15.3,Samsung Korea Target Date 2030 Index (Price Return),1.95,14272283994,-0.13,매우낮음,실물(액티브),0.2,배당소득세(보유기간과세)
433980,KODEX TDF2040액티브,2022.6.30,혼합자산-주식+채권,삼성자산운용,19.3,Samsung Korea Target Date 2040 Index (Price Return),2.53,13724671041,0.03,매우낮음,실물(액티브),0.25,배당소득세(보유기간과세)
434060,KODEX TDF2050액티브,2022.6.30,혼합자산-주식+채권,삼성자산운용,21.86,Samsung Korea Target Date 2050 Index (Price Return),3.66,87405486987,0.18,매우낮음,실물(액티브),0.3,배당소득세(보유기간과세)
329650,KODEX TRF3070,2019.7.4,혼합자산-주식+채권,삼성자산운용,14.3,FnGuide TRF 3070 지수,0.95,1.67957E+11,0.2,매우낮음,실물(패시브),0.24,배당소득세(보유기간과세)
