일자,금융투자,보험,투신,사모,은행,기타금융,연기금 등,기타법인,개인,외국인,기타외국인,전체
2023.12.28,-72229490107,-17380141200,-49792109229,3205889210,-19079694935,20109240490,22483506395,32143023826,14699738903,65819783100,20253547,0
2023.12.27,3.54735E+11,32525800532,-44240381905,32734213045,-62015543450,-992705500,32418871365,-2.65E+11,-80974936248,1600792722,-621958729,0
2023.12.26,-22238482590,2405397790,18333907095,-2461546060,-29963636825,-909695495,14935279805,2746256702,23549696568,-8067080745,1669903755,0
2023.12.22,-1.49E+11,-10866657210,77678264560,-21546159730,-27636787410,-4534734120,43490646420,21844152629,65667534752,5286897470,-669825295,0
2023.12.21,-81043419821,-3352312505,10149434405,9182495135,8780771160,1005362625,-20501363035,19554161903,-8949676549,64083713521,1090833161,0
2023.12.20,-25473940457,-7470690669,-32055351860,-20378035750,-31424178360,-9073260905,29749844120,-5395991624,56925299990,43836353810,759951705,0
2023.12.19,-80383509397,21404959075,43506315345,9514765225,-2506886520,9714518200,-18092382195,12761108957,5897709276,-1276629195,-539968771,0
2023.12.18,1.24305E+11,-33167353880,-1.16E+11,12670249710,2540523795,-659718170,34278303265,11144044474,-21698066967,-15442402124,1739599666,0
2023.12.15,75236355532,-677240585,-79497714430,-6823046910,-14444224660,8316440230,-27515455470,7300334106,-18416658982,56006536034,514675135,0
2023.12.14,-1.66E+11,42852354350,66344557735,-6761803145,8969366480,20645884045,27569620865,21498357989,-74238852799,63328446961,-3844728201,0
2023.12.13,-65254858003,34361819730,-10720939665,2645331450,-31396494130,34413410660,13565066235,-9386527193,25531214386,8476286157,-2234309627,0
2023.12.12,1.31234E+11,-6110851385,-34716891535,-2917443475,-48008000455,621663500,17636562055,7694762230,-55904815412,-9682332071,153004570,0
2023.12.11,3.11813E+11,-5434364360,-1.08E+11,-7801402250,-26875977085,9057050915,2875739665,-34837088576,-32453033395,-1.12E+11,2876565798,0
2023.12.8,-2.38E+11,-1382210375,1.21746E+11,-22233320720,9185659965,-582805670,56522863880,11847518195,-33558214740,97076732180,-486952950,0
2023.12.7,-70068405885,18340987000,-1.36E+11,-1026323045,22499731275,2352861110,9659842340,3506654825,60432733445,93666599035,-2946149030,0
2023.12.6,-2.16E+11,10972511275,1.96535E+11,2165810820,16067718815,-13725701375,-3059788470,4930077540,-32197868750,34613037815,105240015,0
2023.12.5,-72250879940,15345286245,-90523425440,22668177845,26278357790,394983935,11948552205,9885240470,64253211235,12843634325,-843138670,0
2023.12.4,-67759343660,-42479669550,41289841920,7314191970,6651898775,148828250,-23096370415,34061570290,-40989286280,84267625000,590713700,0
2023.12.1,-8152384863,10381367367,-51835999995,8639955710,6268662451,-553216170,3056049560,3717010725,9912183005,18519374290,46997920,0
2023.11.30,1.25431E+11,24145007710,-1.54E+11,9075574365,-33019202785,-2637383260,-896478560,985830155,-7963170600,38256745320,143876425,0
2023.11.29,-10916281235,25299036335,-10836307385,25927024640,-7400210065,-32248235,6649873235,11893591620,-552882370,-39935425055,-96171485,0
2023.11.28,-12558493689,-8316995840,27923547774,1724863560,-20892794720,-915064345,18521502885,-6329804510,-23351642995,24453139540,-258257660,0
2023.11.27,-1.55E+11,-11219829250,82449790990,-2349224805,17546635915,447476650,4328813690,10262687970,50499300550,3349979165,-60903195,0
2023.11.24,1.04087E+11,-10013424945,-1.20E+11,6336121445,20067185220,134906360,-4329848400,-4490649650,33375465580,-26371815230,1127559560,0
2023.11.23,-1.09E+11,-1477396940,92206936065,-3162284125,29896713825,-835331140,-289833570,-15357391350,4174178805,3071801820,462151270,0
2023.11.22,1.38026E+11,-46722245561,-84163669940,9490788015,10100911780,212995855,-44791701635,-2538700095,19548719685,743392605,93636805,0
2023.11.21,2.24403E+11,-73571275,-1.25E+11,74274085,-30175291650,830410085,-905237365,-5729091355,-1.12E+11,48922963030,-639251490,0
2023.11.20,-1.40E+11,8710169330,86723085655,-6623252030,13761603855,-5015504715,-4925454540,17466276000,-26809203415,57767434952,-781390245,0
2023.11.17,12856826965,6610864250,-76750750790,14937088245,-6774285145,1050298085,-30564568355,4554019860,4294117460,68558406210,1227983215,0
2023.11.16,82150726305,4912389355,-1.20E+11,12170434435,-7835324155,-398210230,6270065070,-1312161315,18065891415,6405309805,38286160,0
2023.11.15,84507710340,55466542725,-56012689700,-13692124555,-17918706980,-666131325,3796480320,-674867905,-1.05E+11,48339485130,1739752585,0
2023.11.14,1.6989E+11,-15284820610,88029844695,-1592917190,-3376674550,-28477998990,-1.45E+11,-39208810720,-55520903995,29828682370,345312380,0
2023.11.13,51372366275,-25644014460,28971869920,37432561255,-5879266570,-28152731080,-88904557680,-84746609025,90045471640,27325938850,-1821029125,0
2023.11.10,-69796597640,-9901335470,-46030620470,21775926950,18966359860,388826415,2189002555,2462659425,51097283865,28294118025,554376485,0
2023.11.9,48426807795,-7182020590,22645205950,8429060685,13991357635,536366860,-86940290930,-2396060745,24949032705,-22381496965,-77962400,0
2023.11.8,23221191175,-605171750,-1.02E+11,6510841035,670860355,830942405,-3796671860,12434209300,52422770190,9167146560,840534255,0
2023.11.7,2.499E+11,-2497708160,-1.99E+11,20581678530,-45476693805,-32605380330,12113878115,2141872225,-37555764485,32746280800,121852250,0
2023.11.6,3.30542E+11,-17713038600,61540818965,-10893777845,-46123737390,-7976019055,-2013224200,22448448300,-3.58E+11,27409577785,378735310,0
2023.11.3,36725911310,-9288390720,27841991675,-15819089405,10105320650,-1088135180,-1696702240,1361815925,-49189784145,1253888810,-206826680,0
2023.11.2,4714470740,44347753690,-32387005440,-17981401810,3905178200,-1202127730,16196757515,12339981015,-53285271430,21039236575,2312428675,0
2023.11.1,-1.95E+11,15370973015,1.2218E+11,11746948950,19936345665,-580586825,14800873245,3280993280,10826458190,-954444695,-1680358150,0
2023.10.31,-81123995829,5655651495,-88499429215,-10307607346,34604081660,747364920,-34976972175,-4346115950,1.62333E+11,14089139505,1825079710,0
2023.10.30,-89583268855,-9783986340,74131356365,6378013725,-31541980350,-701402080,119915155,-5519439260,63016215650,-5914687920,-600736090,0
2023.10.27,-1.20E+11,6624548030,68411765950,-8551651865,10770373460,712825410,18515302190,-7910331970,14170866415,17433338430,66914735,0
2023.10.26,-2.51E+11,23027014535,41456165561,-2636333265,17589094130,282160075,19093074140,23888802080,1.47563E+11,-19331217405,-173499430,0
2023.10.25,-1.63E+11,5578469046,49985955285,5989621615,20658438800,29514105205,264555080,6848245720,74384625995,-30062963470,31342580,0
2023.10.24,-1.25E+11,5136324605,76085405535,-938002055,15378591000,222738645,4292898080,-22137209620,22345757085,24709718000,129743715,0
2023.10.23,-2.14E+11,-2545727850,1.10816E+11,-4055657600,20166877580,634818885,-7165509940,13002501800,95939288045,-13573479750,725644635,0
2023.10.20,-2.19E+11,11569334830,69860873955,6780418040,2682932390,4886561480,44997847440,-1538195835,1.02318E+11,-22975559620,261913845,0
2023.10.19,-2.73E+11,-15345749750,1.10875E+11,1490497860,16086543375,-208605400,44481408400,11603870640,1.14905E+11,-11566087725,1048665580,0
2023.10.18,1.09314E+11,-20758250070,-1.38E+11,5058700410,15440161280,10836825,-4391213685,-876861530,64968730325,-30830245260,61095005,0
2023.10.17,-63646412875,-4040455015,1.1938E+11,-8409427900,-27559603985,1427976985,83603180,1148399070,960600725,-19581047915,236820495,0
2023.10.16,-1.11E+11,-46246690075,89093178275,8011735310,13942259265,1381286060,9965680290,775133735,46538332145,-10385057385,-1751121135,0
2023.10.13,16592989760,-6272821365,-61708289345,24922464825,-896955005,203618855,-33279710,-4617583300,11041789620,20497364680,270700985,0
2023.10.12,1.24562E+11,5959729430,-45213146940,-5492642520,3735724235,-471915360,-44152996065,-4520212330,-24948149290,-9354904110,-103522705,0
2023.10.11,1.32202E+11,32550060170,-44303977100,702963400,3768958000,1092603715,-158700345,-17085719755,-53204811410,-55558918400,-4249385,0
