종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중
SWAP00000002,스왑(KB증권),,4650002,,4.329030936
SWAP00000004,스왑(NH투자증권),,10484543,,9.760836877
SWAP00000025,스왑(교보증권),,2313694,,2.153988945
SWAP00000003,스왑(대신증권),,2404219,,2.238265366
SWAP00000010,스왑(메리츠증권),,4123944,,3.839284619
SWAP00000009,스왑(삼성증권),,7082248,,6.593388711
SWAP00000024,스왑(유안타증권),,2306777,,2.147549398
SWAP00000011,스왑(키움증권),,3552666,,3.307439657
SWAP00000014,스왑(하나금융투자),,5636056,,5.247021567
SWAP00000007,스왑(한국투자증권),,11858711,,11.04015155
SWAP00000017,스왑(한화투자증권),,4612678,,4.294283263
SWAP00000013,스왑(현대차증권),,9342084,,8.697237258
KRD010010001,원화현금,,,39046764,36.35152185
CASH00000001,설정현금액,,,107414386,100
